#Table: J/A+A/693/A69/ngc1261.dat (http://cdsarc.cds.unistra.fr)
------------------------------------------------------------------------------------------------------------
                   |              |     |      |     |      |      |      |       |      |      |  e_[|
            GaiaDR3| RAdeg   DEdeg| pmRA|  pmDE|Bp-Rp|  Gmag|  gmag|   g-r|     RV|  e_RV|[Fe/H]|Fe/H]|Pmemb
-------------------|--------------|-----|------|-----|------|------|------|-------|------|------|-----|-----
4733677211487164160|47.885 -55.633|1.779|-1.770|0.987|18.795| 0.498|19.243| 67.906| 5.324|-1.309|0.211|0.605
4733699790131324544|48.065 -55.287|1.419|-2.153|0.630|19.606| 0.278|19.871| 67.236| 7.805|-1.480|0.380|0.825
4733781635030255232|48.139 -55.296|1.519|-1.886|0.964|18.977| 0.478|19.408| 76.810| 2.578|-1.362|0.114|0.929
4733699893210538112|48.061 -55.261|1.690|-2.024|1.115|16.158| 0.693|16.740| 69.496| 0.694|-1.088|0.021|0.971
4733781665091557760|48.149 -55.286|1.499|-1.817|0.999|17.861| 0.540|18.339| 74.026| 1.240|-1.167|0.065|0.853
4733795585081224320|48.244 -55.189|1.476|-1.685|0.754|19.532| 0.322|19.830| 71.751| 7.563|-1.751|0.250|0.640
4733711158908171392|48.726 -55.672|1.830|-2.243|0.812|18.816| 0.331|19.125| 70.250| 3.164|-1.288|0.182|0.913
4733782283566915584|48.269 -55.226|1.622|-1.974|0.615|19.625| 0.272|19.887| 76.777| 6.650|-1.466|0.246|0.857
4726956244798037120|44.930 -58.684|2.269|-2.879|0.672|18.926| 0.293|19.201| 35.518| 3.020|-1.052|0.179|0.955
4733700335591309824|47.942 -55.289|1.675|-2.272|0.878|18.602| 0.504|19.059| 69.332| 1.498|-1.335|0.079|0.966
4733682644621856000|48.186 -55.495|1.644|-1.894|0.927|18.327| 0.516|18.791| 71.118| 1.322|-1.316|0.086|0.962
4733700369951058944|47.956 -55.275|1.511|-2.123|0.621|19.921| 0.261|20.171| 67.466| 7.032|-1.155|0.254|0.811
4733796684592936320|48.179 -55.143|1.331|-1.896|0.516|19.981| 0.247|20.226| 72.850| 9.767|-1.076|0.246|0.705
4734475800526142464|47.362 -54.911|1.869|-2.374|0.916|19.050| 0.463|19.466| 71.705| 3.752|-1.214|0.147|0.836
4735121179491240960|49.575 -53.246|1.561|-1.655|0.914|19.186| 0.487|19.630| 83.812| 3.886|-1.407|0.302|0.925
4728406427621590400|46.656 -55.884|1.644|-2.740|0.570|19.828| 0.257|20.080| 54.335|11.304|-1.387|0.393|0.601
4730555564832554368|52.683 -56.530|1.668|-2.004|0.703|19.325| 0.300|19.601| 72.764|11.719|-1.372|0.374|0.717
4733783829755157504|48.256 -55.212|1.534|-2.178|0.950|18.365| 0.524|18.836| 69.614| 1.357|-1.281|0.069|0.970
4733796714657142784|48.190 -55.133|1.313|-2.009|0.726|19.471| 0.309|19.769| 73.511| 3.462|-1.468|0.183|0.892
4740684296011286528|42.864 -55.120|1.584|-2.437|0.695|19.223| 0.337|19.540| 56.088| 8.073|-1.857|0.513|0.862
4733700442966324864|47.940 -55.265|1.825|-2.281|0.916|18.889| 0.478|19.325| 73.699| 2.046|-1.178|0.118|0.918
4733796822033670144|48.209 -55.121|1.741|-2.460|0.508|19.718| 0.258|19.981| 71.026| 6.060|-1.724|0.264|0.661
4734477827750732032|47.448 -54.857|1.472|-1.911|0.858|19.251| 0.456|19.661| 76.693| 3.884|-1.466|0.152|0.887
4734565170205092224|47.941 -54.647|1.567|-1.927|0.597|19.496| 0.357|19.845| 81.420| 4.181|-1.610|0.179|0.724
4733700541749755520|47.978 -55.274|1.653|-1.836|0.587|19.503| 0.325|19.758| 77.679| 4.502|-1.308|0.202|0.835
4733785788260251392|48.541 -55.207|1.557|-2.324|0.792|19.496| 0.313|19.799| 73.822| 6.309|-1.386|0.238|0.864
4733796852096119936|48.211 -55.105|1.660|-1.736|0.669|19.634| 0.282|19.912| 79.040| 5.064|-1.439|0.221|0.776
4733831387930561792|48.728 -54.752|1.573|-1.968|1.131|16.175| 0.678|16.790| 80.165| 0.700|-1.286|0.034|0.998
4733796989535862784|48.151 -55.112|1.818|-2.316|0.641|19.750| 0.260|20.013| 71.213| 4.687|-1.658|0.275|0.761
4734139487406388224|50.136 -54.718|1.690|-1.836|0.957|18.017| 0.552|18.518| 85.991| 3.426|-1.371|0.174|0.954
4735047649651397888|48.151 -53.783|1.528|-1.913|0.142|16.899|-0.181|16.858| 79.413| 2.078|-1.385|0.148|0.995
4733797298772733568|48.201 -55.085|1.448|-1.913|0.817|19.309| 0.418|19.673| 73.067| 3.914|-1.235|0.114|0.943
4733700649124779520|48.040 -55.249|1.542|-2.047|1.333|14.457| 0.813|15.249| 68.917| 0.663|-0.950|0.008|0.963
4726764891120569600|45.310 -58.791|1.628|-2.835|0.649|19.402| 0.275|19.666| 36.944| 5.145|-1.066|0.295|0.886
4733688206603448192|47.643 -55.623|1.783|-2.232|0.852|19.214| 0.454|19.621| 69.364| 7.026|-1.437|0.277|0.889
4733700683484916864|48.016 -55.253|1.209|-2.182|0.733|19.451| 0.347|19.762| 79.860| 3.970|-1.231|0.161|0.712
4726968030189630080|44.748 -58.669|1.997|-2.897|0.746|19.321| 0.370|19.666| 35.583| 6.140|-1.872|0.414|0.936
4733700717844254464|48.038 -55.237|1.440|-2.206|1.011|17.151| 0.609|17.643| 67.726| 0.835|-1.289|0.047|0.627
4733798363924573824|48.073 -55.139|1.699|-2.172|0.981|17.885| 0.534|18.369| 70.861| 1.112|-1.192|0.056|0.977
4726897038674020480|43.619 -58.776|2.137|-3.135|1.019|18.193| 0.621|18.762| 23.309| 2.272|-1.355|0.168|0.996
4733700958362419072|47.991 -55.222|1.602|-2.041|1.082|16.508| 0.724|17.113| 74.070| 0.728|-1.215|0.030|0.998
4733798363924588032|48.067 -55.125|1.727|-2.108|0.992|18.178| 0.511|18.640| 73.708| 1.598|-1.154|0.096|0.976
4733793454779238144|48.106 -55.279|1.546|-2.028|1.096|16.410| 0.645|16.994| 71.902| 0.791|-1.323|0.040|0.996
4733702981291191296|47.760 -55.254|1.672|-1.945|0.685|19.573| 0.283|19.845| 74.785| 4.975|-1.212|0.205|0.864
4733793523498715520|48.163 -55.260|1.611|-2.096|1.159|15.734| 0.718|16.379| 75.388| 0.691|-1.081|0.021|0.997
4733799536452941312|47.979 -55.070|1.626|-2.173|1.010|17.605| 0.552|18.105| 72.817| 0.877|-1.131|0.045|0.990
4733793660937665792|48.089 -55.264|1.622|-2.093|1.113|16.124| 0.671|16.728| 73.427| 0.732|-1.074|0.031|0.997
4726905701624117120|43.156 -58.778|1.950|-3.317|0.622|18.633| 0.277|18.904| 29.439| 6.733|-1.903|0.332|0.959
4733703324888564736|47.876 -55.267|1.331|-2.053|0.632|19.523| 0.311|19.818| 72.437| 6.008|-1.362|0.204|0.871
4733793764014810240|48.099 -55.235|1.245|-1.681|0.665|19.720| 0.362|20.005| 69.720| 5.857|-1.232|0.149|0.685
4733851694534379904|50.665 -55.706|1.638|-1.903|0.890|19.156| 0.485|19.590| 81.429| 4.425|-1.526|0.227|0.929
4734153716634508928|49.498 -54.567|1.563|-1.903|1.104|16.544| 0.663|17.144| 78.724| 0.822|-1.255|0.043|0.998
4733703496687266432|47.860 -55.257|1.891|-2.193|0.603|19.678| 0.263|19.932| 69.989| 5.091|-1.498|0.216|0.806
4733730537800801792|48.649 -55.374|1.238|-2.168|0.540|19.737| 0.268|20.005| 74.844| 5.776|-1.651|0.354|0.761
4733793832736408960|48.140 -55.228|1.611|-2.071|1.146|15.907| 0.766|16.582| 69.226| 0.694|-1.032|0.020|0.994
4733703775860965120|47.954 -55.242|1.665|-2.074|1.110|16.193| 0.662|16.789| 72.009| 0.702|-1.074|0.024|0.994
4733800292367243264|48.086 -55.054|1.546|-2.067|1.208|15.400| 0.756|16.090| 73.755| 0.678|-0.965|0.018|0.992
4733932336840400640|50.501 -55.041|1.531|-1.894|0.839|16.768| 0.417|17.152| 88.538| 1.293|-1.694|0.070|0.836
4733704012083379456|47.963 -55.187|1.880|-2.265|0.662|19.504| 0.297|19.753| 74.480| 4.704|-1.712|0.190|0.677
4733794141974055168|48.191 -55.205|1.574|-2.072|1.116|16.261| 0.664|16.856| 69.321| 0.753|-1.227|0.034|0.996
4733704016379131392|47.977 -55.197|1.616|-2.103|1.090|16.383| 0.644|16.965| 70.459| 0.718|-1.094|0.026|0.997
4733794210694518016|48.160 -55.211|1.465|-2.084|0.956|18.463| 0.519|18.933| 69.570| 1.502|-1.193|0.073|0.970
4734991986875120128|48.624 -54.015|1.408|-1.926|0.850|19.470| 0.433|19.822| 80.081| 6.156|-1.536|0.719|0.847
4733704080802852864|47.923 -55.193|1.689|-1.964|1.004|17.851| 0.608|18.376| 71.298| 0.998|-1.240|0.055|0.987
4733794279413002368|48.142 -55.198|1.614|-2.301|0.997|17.412| 0.559|17.912| 70.352| 0.991|-1.287|0.048|0.914
4733801937337481600|48.095 -54.961|1.777|-2.323|0.673|19.472| 0.302|19.764| 73.435| 3.751|-1.490|0.193|0.864
4733536684453029760|49.942 -55.609|1.344|-1.763|0.816|19.553| 0.318|19.843| 86.176| 5.564|-1.295|0.274|0.653
4733794485571371648|48.057 -55.243|1.611|-2.155|1.068|16.402| 0.663|16.962| 68.556| 0.750|-1.268|0.031|0.991
4733802903705753984|48.451 -55.016|1.651|-1.919|0.609|19.959| 0.248|20.201| 73.601| 9.875|-1.418|0.367|0.746
4740718724469493120|43.504 -54.759|1.392|-2.579|0.752|19.225| 0.402|19.597| 55.911| 3.457|-1.617|0.264|0.820
4733414084610287488|48.658 -56.186|1.362|-2.010|0.803|19.441| 0.296|19.726| 64.925| 5.195|-1.523|0.227|0.789
4733777095246270336|48.323 -55.397|1.507|-2.644|0.607|19.906| 0.266|20.161| 77.212| 6.520|-1.237|0.314|0.666
4733794657370121216|48.112 -55.207|1.643|-2.010|1.303|14.853| 0.791|15.639| 71.936| 0.667|-1.015|0.012|0.992
4733803277367230336|48.287 -55.058|1.764|-1.524|0.858|19.204| 0.445|19.608| 73.044| 2.785|-1.339|0.205|0.720
4733697861690086656|47.861 -55.412|1.658|-2.013|0.952|18.157| 0.515|18.622| 70.135| 1.216|-1.243|0.102|0.987
4733705042875537152|47.923 -55.151|1.623|-2.193|0.624|19.758| 0.265|20.014| 64.858| 6.693|-1.189|0.242|0.799
4733777340061946112|48.328 -55.369|1.550|-2.072|0.969|16.757| 0.535|17.236| 72.373| 0.957|-1.279|0.058|0.997
4733697999129042176|47.819 -55.407|1.352|-2.175|0.702|19.418| 0.333|19.730| 68.889| 4.638|-1.611|0.302|0.859
4733705047171281152|47.925 -55.162|1.115|-2.085|0.582|19.924| 0.258|20.162| 75.484| 5.590|-1.542|0.281|0.726
4733777679361860992|48.403 -55.345|1.259|-2.186|0.625|19.513| 0.321|19.813| 70.520| 7.654|-1.100|0.212|0.803
4733794829168715648|48.008 -55.205|1.589|-2.008|1.116|16.080| 0.708|16.683| 72.396| 0.694|-1.119|0.020|0.997
4734256791553917952|49.220 -53.918|1.578|-2.041|0.975|18.458| 0.527|18.936| 85.706| 3.365|-1.114|0.173|0.946
4735096543559565696|48.380 -53.266|1.518|-1.797|0.738|19.369| 0.409|19.740| 71.139| 7.635|-1.657|0.599|0.746
4733778778873537280|48.583 -55.288|1.515|-1.955|0.970|18.210| 0.527|18.688| 73.406| 1.173|-1.257|0.065|0.988
4733794927950968320|48.062 -55.182|1.577|-2.046|1.156|15.844| 0.752|16.500| 71.649| 0.691|-1.186|0.019|0.998
4733954322776440192|50.839 -54.957|1.593|-1.707|0.970|17.941| 0.545|18.430| 74.105| 5.644|-1.630|0.198|0.701
4733350523390551296|49.323 -56.431|1.354|-2.040|0.796|18.542| 0.322|18.827| 75.410| 2.185|-1.169|0.118|0.815
4733705253329710720|47.841 -55.134|1.675|-2.059|1.093|16.529| 0.639|17.106| 71.161| 0.709|-1.218|0.023|0.994
4733795035327238912|48.123 -55.192|1.632|-2.050|1.449|14.218| 1.083|15.195| 73.622| 0.664|-0.903|0.009|0.992
