FieldName,RA_deg,Dec_deg,UTDATE,MJD,Texp_s,G_SN_5,N
ATLAS-0,30.350248,-33.098693,2018-09-14,58375.59,7200,18.9,347
ATLAS-1,28.406544,-31.922932,2018-09-13,58374.60,7200,19.1,359
ATLAS-3,24.569248,-29.628485,2018-09-12,58373.62,7200,18.8,359
ATLAS-4,22.671638,-28.507177,2018-09-27,58388.69,7200,18.6,359
ATLAS-5,20.784285,-27.396658,2018-10-26,58417.68,5800,18.4,345
ATLAS-6,18.912949,-26.299787,2018-09-11,58372.59,7200,18.7,359
ATLAS-7,17.046881,-25.215898,2018-10-23,58414.54,7200,18.4,359
ATLAS-8,15.186390,-24.141606,2018-10-26,58417.59,7200,18.5,359
ATLAS-10,11.485245,-22.025185,2018-09-08,58369.59,7200,18.7,359
ATLAS-11,9.638663,-20.985328,2018-09-27,58388.60,7200,18.5,348
Aliqa-Uma-1,39.653899,-37.658852,2018-09-08,58369.69,7800,18.7,347
Aliqa-Uma-2,37.776994,-36.334496,2018-09-07,58368.70,7600,18.8,347
Aliqa-Uma-3,35.965770,-34.980462,2018-09-09,58370.67,9600,19.0,347
Aliqa-Uma-4,34.211411,-33.603704,2018-08-09,58339.73,7200,19.1,348
Aliqa-Uma-5,32.515170,-32.198125,2018-08-08,58338.75,5400,18.8,308
Chenab-1,331.107304,-44.179689,2018-08-10,58340.46,7200,19.0,359
Chenab-2,330.109770,-46.053830,2018-08-10,58340.55,6700,18.6,348
Chenab-3,329.045873,-47.914236,2018-09-07,58368.41,7200,18.5,357
Chenab-4,327.900452,-49.766183,2018-09-11,58372.40,7200,18.9,359
Chenab-5,326.663567,-51.606374,2018-09-09,58370.39,7200,18.7,359
Chenab-6,325.321207,-53.432514,2018-09-08,58369.40,7200,18.6,359
Chenab-7,323.861828,-55.242360,2018-09-13,58374.42,7200,19.1,359
Chenab-8,322.259995,-57.036550,2018-08-09,58339.55,6300,19.0,348
Chenab-9,320.500812,-58.803070,2018-08-09,58339.46,6000,18.8,359
Elqui-0,22.107923,-43.089436,2018-09-14,58375.68,7800,18.7,359
