source_id,ra,dec,phot_g_mean_mag,redshift
4972649539728306432,4.697280,-51.759919,18.5,0.44
2362400547317486720,9.358120,-20.343325,19.1,1.85
2350270460161251200,9.375939,-21.322281,19.8,2.48
2350251115628542464,9.435354,-21.525050,19.9,1.82
2362705077678071424,9.917326,-20.550277,20.0,2.57
5001051196383860352,10.270612,-37.155282,19.6,0.72
5000985083952286336,10.317996,-37.613705,19.1,0.88
5001096894835994880,10.349795,-36.705281,19.4,2.24
2349979811134793088,10.383027,-21.975567,18.6,2.72
2349914531927728640,10.478138,-22.344380,19.5,3.31
2350032690772566016,10.534402,-21.499210,19.4,2.72
2350006886608763008,10.559899,-21.784944,18.9,2.22
5001085414388903296,10.682683,-36.794719,18.0,2.71
2349905697178722176,10.846492,-22.349365,19.4,1.83
2349949578860919040,10.867119,-22.030514,19.9,2.28
5001008345495272448,10.942463,-37.263972,19.4,0.85
2349122295143983360,10.977585,-22.865027,19.0,0.95
2349133427699269888,11.004514,-22.688900,18.1,2.17
5000707388546774272,11.038949,-38.288535,19.4,0.71
5001186436314116480,11.100714,-36.541186,19.5,1.91
5000764631871010432,11.106386,-37.986873,19.9,1.87
5000709381411691648,11.132341,-38.212503,18.7,0.73
5001112696020754304,11.157436,-36.966320,19.3,0.84
5001135102865013248,11.253751,-36.647412,19.8,0.76
2350318151478383488,11.270481,-21.883722,17.9,2.77
5000698764253113344,11.309156,-38.328298,19.1,1.53
5001163995111365760,11.366165,-36.472316,18.7,1.93
5001123798511811072,11.425409,-36.658928,17.3,0.33
2350431023218718848,11.455145,-21.160993,19.9,1.96
5000920693803242624,11.473881,-37.057822,19.2,1.94
2349543098860436352,11.557762,-22.301465,19.6,2.54
2349549799008731904,11.564867,-22.117603,19.8,0.98
5000910214082471040,11.624282,-37.157001,19.8,2.47
2349556606532456448,11.640669,-22.021747,17.6,0.81
4999968894690142208,11.669890,-38.297989,19.7,2.31
5001155199017046528,11.720253,-36.466529,19.6,1.67
2348904660561903104,11.850486,-22.862907,19.5,2.33
2350457926894022272,11.928065,-21.320333,19.6,2.33
2349553681659226752,11.931789,-22.031946,19.1,1.79
2349603571999510144,11.959233,-21.689203,18.2,0.98
4999974190385704448,12.048500,-38.176121,17.7,0.40
2349594294870181632,12.110208,-21.601540,18.2,0.75
4999962606858430464,12.129803,-38.201044,18.7,0.44
2349709026331898240,12.142465,-21.245963,17.7,0.10
4999857294260126848,12.145789,-38.903376,18.8,0.85
4999662440183663360,12.345407,-39.193694,19.9,2.42
5000108326508548352,12.404594,-37.621039,18.2,1.91
5000876129222030208,12.454555,-37.114487,19.5,1.71
4999682373127704960,12.542619,-39.173010,18.1,2.53
5000091425812141312,12.646324,-37.731162,19.9,2.34
4999617806883457664,12.759999,-39.378415,19.5,2.41
4999801562764667904,12.886451,-38.520984,17.4,0.40
5000046788217061888,12.912177,-37.811834,18.9,1.60
4999675638619030144,12.968155,-39.107177,17.5,2.85
4999801219167294848,12.983911,-38.475663,19.6,2.98
5000033284839896576,13.170352,-37.782269,19.3,1.64
4999732087373576704,13.244664,-38.819094,19.2,2.04
5001548828474643712,13.308492,-37.592735,19.6,1.92
4999767993300057216,13.753279,-38.434009,19.3,1.90
5001334591211266944,13.800376,-37.828507,19.4,1.71
5001330502402931456,13.966763,-37.888496,19.9,2.38
5001358303725898752,14.014548,-37.726177,19.2,2.32
4989237424981074816,14.107596,-38.727249,17.7,0.71
4989246044979351552,14.343998,-38.475376,18.3,2.35
4987388454444061952,14.457387,-40.418448,19.2,0.78
5001286560593938816,14.531986,-38.075910,19.2,1.64
4987396975659234432,14.664053,-40.240144,19.5,2.14
4989185090803283200,14.999806,-38.848830,18.6,0.68
4987354614396697472,15.075666,-40.428532,19.9,1.83
4988937047852499968,15.162583,-39.596999,19.6,1.96
4986607560670103424,15.369421,-40.435007,19.3,1.82
4986604605732603520,15.557466,-40.432600,19.9,1.88
4988979482128898944,15.742302,-39.093311,19.8,1.87
4989028822713699840,15.935045,-38.967146,19.5,1.75
4988149419569543808,15.958823,-39.708783,18.4,1.62
4988129387842030976,16.018582,-40.044192,18.5,0.53
4988033283653723520,16.236879,-40.549369,19.6,0.89
4989032091184485632,16.244557,-38.929904,19.9,2.16
4988252090763720960,16.274121,-39.441097,18.7,0.78
4986324436426036992,16.291310,-41.153209,18.9,2.09
4987829809578039168,16.296123,-41.019538,18.5,0.93
4988260298445630848,16.400516,-39.303931,19.3,2.37
4988073351403885696,16.418564,-40.276297,19.4,2.37
5034783251052483712,16.495512,-26.105676,17.0,0.78
4988236384067521536,16.558366,-39.569267,19.1,0.93
4987756000565130368,16.730310,-41.456476,18.8,0.87
5034993429572004992,16.936002,-25.064440,16.3,1.83
4988162888586819712,16.984360,-39.982084,19.4,2.43
4987966458259026176,16.986709,-40.350667,17.7,0.14
4987852968042130816,17.034895,-40.654621,18.8,2.20
4987973845601247232,17.040109,-40.080690,19.4,2.47
4987853689596806784,17.181285,-40.665278,18.5,0.47
4987903339418158848,17.435106,-40.478723,18.6,1.85
4987898146802703872,17.523399,-40.595951,19.4,1.58
4987996106417427584,17.673571,-39.911323,19.7,0.44
4984759281624128128,17.704281,-41.455559,19.9,0.71
5040952262903126784,17.706344,-24.857889,18.9,2.25
5034669245439701248,17.797100,-25.803555,19.3,2.46
4987933404190793984,17.800194,-40.272459,19.4,1.87
4984702072659615616,17.951398,-41.777160,19.6,2.30
5040732738534339840,17.958273,-25.317458,18.9,1.94
4984884630245793920,17.963201,-40.762051,17.6,0.05
5040734456521232512,18.047884,-25.358826,18.1,2.26
5040672024876444416,18.144886,-25.724774,19.0,2.22
5033771008864759296,18.355219,-27.000865,19.4,1.53
5033771077584238464,18.396643,-26.992901,18.9,2.17
4984790961302443008,18.502813,-41.469998,18.6,1.68
4984834460731380352,18.514386,-41.142151,20.3,2.43
4984898885240564736,18.529226,-40.628724,20.1,0.79
5033581068231026176,18.556556,-27.028883,19.2,1.98
4984602566857640192,18.568072,-41.563791,19.0,1.99
4984848964837451776,18.571109,-40.758155,19.2,0.85
5033578358106747264,18.571854,-27.097523,19.9,2.42
4984821747628164480,18.579245,-41.174867,20.0,2.43
5033793995529047040,18.678481,-26.832015,19.8,2.66
4984816937264722048,18.680601,-41.317133,19.0,1.90
5039896353783096960,18.776171,-25.891905,18.7,1.98
5039828596378744704,18.776858,-26.336463,19.4,2.21
